state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,price_category,state_encoded,commodity_encoded,label_encoded,district_encoded,market_encoded
Andaman and Nicobar,South Andaman,Port Blair,Amaranthus,Amaranthus,04/03/2019,6000,8000,7000,EXPENSIVE,0,0,1,153,246
Andaman and Nicobar,South Andaman,Port Blair,Banana - Green,Banana - Green,04/03/2019,4500,5500,5000,EXPENSIVE,0,10,1,153,246
Andaman and Nicobar,South Andaman,Port Blair,Bhindi(Ladies Finger),Bhindi,04/03/2019,6000,8000,7000,EXPENSIVE,0,18,1,153,246
Andaman and Nicobar,South Andaman,Port Blair,Bitter gourd,Other,04/03/2019,6000,8000,7000,EXPENSIVE,0,19,1,153,246
Andaman and Nicobar,South Andaman,Port Blair,Black pepper,Other,04/03/2019,110000,130000,120000,EXPENSIVE,0,22,1,153,246
Andaman and Nicobar,South Andaman,Port Blair,Bottle gourd,Other,04/03/2019,3000,4000,3500,MEDIUM,0,23,2,153,246
Andaman and Nicobar,South Andaman,Port Blair,Brinjal,Other,04/03/2019,7000,8000,7500,EXPENSIVE,0,24,1,153,246
Andaman and Nicobar,South Andaman,Port Blair,Cabbage,Other,04/03/2019,6000,7000,6500,EXPENSIVE,0,26,1,153,246
Andaman and Nicobar,South Andaman,Port Blair,Carrot,Other,04/03/2019,9000,11000,10000,EXPENSIVE,0,28,1,153,246
Andaman and Nicobar,South Andaman,Port Blair,Cauliflower,Other,04/03/2019,10000,12000,11000,EXPENSIVE,0,31,1,153,246
Andaman and Nicobar,South Andaman,Port Blair,Cluster beans,Cluster Beans,04/03/2019,8000,10000,9000,EXPENSIVE,0,34,1,153,246
Andaman and Nicobar,South Andaman,Port Blair,Coconut,Big,04/03/2019,5400,6000,5600,EXPENSIVE,0,35,1,153,246
Andaman and Nicobar,South Andaman,Port Blair,Colacasia,Other,04/03/2019,5000,7000,6000,EXPENSIVE,0,38,1,153,246
Andaman and Nicobar,South Andaman,Port Blair,Onion,Other,04/03/2019,2000,3500,3000,MEDIUM,0,101,2,153,246
Andaman and Nicobar,South Andaman,Port Blair,Potato,Other,04/03/2019,2000,3500,3000,MEDIUM,0,118,2,153,246
Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,04/03/2019,400,960,620,CHEAP,1,147,0,35,133
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,04/03/2019,200,500,300,CHEAP,1,147,0,35,200
